fecha,capa1,capa2,capa3,iep_total,pesos_version,capa1_adj,capa2_adj,capa3_adj,iep_ajustado
2009-11-24,,,,,incompleta-v4,,,,
2009-11-25,,,,,incompleta-v4,,,,
2009-11-26,,,,,incompleta-v4,,,,
2009-11-27,,,,,incompleta-v4,,,,
2009-11-30,,,,,incompleta-v4,,,,
2009-12-01,,,,,incompleta-v4,,,,
2009-12-02,,,,,incompleta-v4,,,,
2009-12-03,,,,,incompleta-v4,,,,
2009-12-04,,,,,incompleta-v4,,,,
2009-12-07,,,,,incompleta-v4,,,,
2009-12-08,,,,,incompleta-v4,,,,
2009-12-09,,,,,incompleta-v4,,,,
2009-12-10,,,,,incompleta-v4,,,,
2009-12-11,,,,,incompleta-v4,,,,
2009-12-14,,,,,incompleta-v4,,,,
2009-12-15,,,,,incompleta-v4,,,,
2009-12-16,,,,,incompleta-v4,,,,
2009-12-17,,,,,incompleta-v4,,,,
2009-12-18,,,,,incompleta-v4,,,,
2009-12-21,,,,,incompleta-v4,,,,
2009-12-22,,,,,incompleta-v4,,,,
2009-12-23,,,,,incompleta-v4,,,,
2009-12-24,,,,,incompleta-v4,,,,
2009-12-28,,,,,incompleta-v4,,,,
2009-12-29,,,,,incompleta-v4,,,,
2009-12-30,,,,,incompleta-v4,,,,
2009-12-31,,,,,incompleta-v4,,,,
2010-01-04,,,,,incompleta-v4,,,,
2010-01-05,,,,,incompleta-v4,,,,
2010-01-06,,,,,incompleta-v4,,,,
2010-01-07,,,,,incompleta-v4,,,,
2010-01-08,,,,,incompleta-v4,,,,
2010-01-11,,,,,incompleta-v4,,,,
2010-01-12,,,,,incompleta-v4,,,,
2010-01-13,,,,,incompleta-v4,,,,
2010-01-14,,,,,incompleta-v4,,,,
2010-01-15,,,,,incompleta-v4,,,,
2010-01-19,,,,,incompleta-v4,,,,
2010-01-20,,,,,incompleta-v4,,,,
2010-01-21,,,,,incompleta-v4,,,,
2010-01-22,,,,,incompleta-v4,,,,
2010-01-25,,,,,incompleta-v4,,,,
2010-01-26,,,,,incompleta-v4,,,,
2010-01-27,,,,,incompleta-v4,,,,
2010-01-28,,,,,incompleta-v4,,,,
2010-01-29,,,,,incompleta-v4,,,,
2010-02-01,,,,,incompleta-v4,,,,
2010-02-02,,,,,incompleta-v4,,,,
2010-02-03,,,,,incompleta-v4,,,,
2010-02-04,,,,,incompleta-v4,,,,
2010-02-05,,,,,incompleta-v4,,,,
2010-02-08,,,,,incompleta-v4,,,,
2010-02-09,,,,,incompleta-v4,,,,
2010-02-10,,,,,incompleta-v4,,,,
2010-02-11,,,,,incompleta-v4,,,,
2010-02-12,,,,,incompleta-v4,,,,
2010-02-15,,,,,incompleta-v4,,,,
2010-02-16,,,,,incompleta-v4,,,,
2010-02-17,,,,,incompleta-v4,,,,
2010-02-18,,,,,incompleta-v4,,,,
2010-02-19,,,,,incompleta-v4,,,,
2010-02-22,,,,,incompleta-v4,,,,
2010-02-23,,,,,incompleta-v4,,,,
2010-02-24,,,,,incompleta-v4,,,,
2010-02-25,,,,,incompleta-v4,,,,
2010-02-26,,,,,incompleta-v4,,,,
2010-03-01,,,,,incompleta-v4,,,,
2010-03-02,,,,,incompleta-v4,,,,
2010-03-03,,,,,incompleta-v4,,,,
2010-03-04,,,,,incompleta-v4,,,,
2010-03-05,,,,,incompleta-v4,,,,
2010-03-08,,,,,incompleta-v4,,,,
2010-03-09,,,,,incompleta-v4,,,,
2010-03-10,,,,,incompleta-v4,,,,
2010-03-11,,,,,incompleta-v4,,,,
2010-03-12,,,,,incompleta-v4,,,,
2010-03-15,,,,,incompleta-v4,,,,
2010-03-16,,,,,incompleta-v4,,,,
2010-03-17,,,,,incompleta-v4,,,,
2010-03-18,,,,,incompleta-v4,,,,
2010-03-19,,,,,incompleta-v4,,,,
2010-03-22,,,,,incompleta-v4,,,,
2010-03-23,,,,,incompleta-v4,,,,
2010-03-24,,,,,incompleta-v4,,,,
2010-03-25,,,,,incompleta-v4,,,,
2010-03-26,,,,,incompleta-v4,,,,
2010-03-29,,,,,incompleta-v4,,,,
2010-03-30,,,,,incompleta-v4,,,,
2010-03-31,,,,,incompleta-v4,,,,
2010-04-01,,,,,incompleta-v4,,,,
2010-04-05,,,,,incompleta-v4,,,,
2010-04-06,,,,,incompleta-v4,,,,
2010-04-07,,,,,incompleta-v4,,,,
2010-04-08,,,,,incompleta-v4,,,,
2010-04-09,,,,,incompleta-v4,,,,
2010-04-12,,,,,incompleta-v4,,,,
2010-04-13,,,,,incompleta-v4,,,,
2010-04-14,,,,,incompleta-v4,,,,
2010-04-15,,,,,incompleta-v4,,,,
2010-04-16,,,,,incompleta-v4,,,,
2010-04-19,,,,,incompleta-v4,,,,
2010-04-20,,,,,incompleta-v4,,,,
2010-04-21,,,,,incompleta-v4,,,,
2010-04-22,,,,,incompleta-v4,,,,
2010-04-23,,,,,incompleta-v4,,,,
2010-04-26,,,,,incompleta-v4,,,,
2010-04-27,,,,,incompleta-v4,,,,
2010-04-28,,,,,incompleta-v4,,,,
2010-04-29,,,,,incompleta-v4,,,,
2010-04-30,,,,,incompleta-v4,,,,
2010-05-03,,,,,incompleta-v4,,,,
2010-05-04,,,,,incompleta-v4,,,,
2010-05-05,,,,,incompleta-v4,,,,
2010-05-06,,,,,incompleta-v4,,,,
2010-05-07,,,,,incompleta-v4,,,,
2010-05-10,,,,,incompleta-v4,,,,
2010-05-11,,,,,incompleta-v4,,,,
2010-05-12,,,,,incompleta-v4,,,,
2010-05-13,,,,,incompleta-v4,,,,
2010-05-14,,,,,incompleta-v4,,,,
2010-05-17,,,,,incompleta-v4,,,,
2010-05-18,,,,,incompleta-v4,,,,
